segmented_commentText,Label
"اول كل الى ت كلم وا ب كلام فارغ و خالى من ال منطق و دال على غير ت هم اول شى و اىل جسار ب رحل ه ستارز ان ب ورد كظا ها صور و يا ال قيصر و حتى غنى اغني ه ها حبيبى و هذا ال نكر ه آخر واحد منو ي نطي ه فلوس ي مشى و يا ه
",P
"اول لاي ك
",N
"اول ما شترك ت ب ال قناه كن ت حاب ه اللى عم ي قدم و ه بس كتير عم ي شهر و ال عالم اللى متل ال زبال ه شو بد نا ف ين ؟ ؟ ؟ ؟ ؟
",P
"اول ماشتغل ل فديو و شف ت ال نفخ عيونى طلع ت وحد ها😨😨😨😨
",N
"اول ماطلع ت قمص ت خاف ت هههه ه الله زرع في هم ال خوف و ال ذله
",N
"اول مر اشوف ه بس ل لامان ه حلا و ه و انوث ه و اسلوب راقى ب دون ت صنع 👌
",N
"اول مر ا اشوف انسان ي لقب نفس ه
",N
"اول مر ه اشوف رجال مزوج رجال
",P
"اول مر ه اشوف صدر ما اشتهي ه و اعععع ي لعن هل خشم وجه ه اال نعال
",P
"اول مر ه اشوف هال مسخ 😕 . . . مين مثلى ؟ ؟ ؟
",P
"اول مر ه اشوف هذا ال متحول حيوانيا ت فووووو
",P
"اول مر ه اشوف هذى ال بهيم ه ، و هي ا اكثر شى منحط شفتو ب حياتى !
",P
"اول مر ه اشوف ها شنو هل شكول ات و ال اخلاق
",N
"اول مر ه اعرف ان ه محمد عبد ه غير ان من نجومي ه كاظم معقوو وووول فى احسن من صوت كاظم ب صراح ه لى قال كلام ضد ه ف هو من غير ت ه و حقد ه و اما عن جورج ممكن ي كون ساعد ه بس مش معقول ي ضل حيات و كل ها ي مدح و و ي شكر و لان ه نجح ب فضل تعب ه و جهد و و اكيد فى شخص فى حيا ه جورج ساعد ه كمان ب بداي اتو و تلاقي ه نسي ه . . .
",N
"اول مر ه اعرف ان ها ب تتكلم سورى مش مصري
",N
"اول مر ه ايوف ف ي ديو ملحم برك ات ال حقير هس ه صار ت ال حرب عار ل يش من صار ت حرب ب لبنان و نقصف ت ال بيوت و تهجر ت ال عوائل هذا شنو ي سم ون ه يا حيوان ت روح فد و ه انت ه و اهلك ل ل عراق و ل ل قيصر و كول الى ي تكلم عن ه مقهور من نجاح ه ل ان اول ماطلع ب لفن ك عد كم ب بيوت كم ل ذلك مقهور ين مووووووووووووتو ; - ) ; - ) ; - ) ; - ) ; - )
",P
"اول مر ه ب سمع ب اسم مريم حسين 😂😂
",N
"اول مر ه ن سمع ب هاد خيتى 😒😏 لى لقات ف ورم ت ها زين ه تعري ها و ت قول انا مغني ه و فنان ه ل عفن و لا ماشى ال فن 👎👎👎
",N
"اول مر ه ن سمع بي ها لكن ال مشكل فى مصر ان ال اعلام ال مصرى ي حب هذه ال نوع ي ه لكن ال ناس ال مثقف ه مغيب ه عن ال اعلام انا جزائر ي ه لكن لى اصدقاء كثر مصري ين قم ه ال تواضع و ال اخلاق و ال ثقاف ه و ناس عند ها مواهب حقيقي ه لكن هدى راهى غير ت صيد ف ال وسخ عجبنى ال مشهد ال اخير كى دخل ت ل ل سجن دار ت حجاب و مهبط ه راس ها حشمان ه ههههههههه ه و فى لقاء ات ها كان ت مليئ ه ب ال غرور الله ي هدى و ي صلح امتنا كامل
",P
"اول مر ه اشوف ال جزم ه ده واي ه صدرو ده اللى مصدر و ف كل ال مقاطع مالو مش مصدق انو اتحشى سيلي ك ون و لا اي ه حاج ه مقرف ه ان ال مقرف ي شوف نفسو طبيعى ل عن الله ال لواط و ال شواذ اعوذ ب الله اي ه ال زمن ال معفن ده اللى مبقتش ال اشكال دى ت تكسف
",P
"اول مر ه اشوف حد رخيص قوى كد ه
",P
"اول مر ه اشوف حيوان ت تمتلك ت كنلوجيا و اجهز تواصل اجتماعى : )
",P
"اول مر ه اشوف هاى ال ممثل ه 😞 و شايف ه روح ه مشهور ه 😲
",N
"اول مر ه اشوف هذا و لا ي مثل ال عراق ابد ا
",N
"اول مر ه اشوف ولد كيوت 😍😍😍😍😍😍
",N
"اول مر ه اشوف ه 😨😨😨😨
",N
"اول مر ه اشوف ها بس لزم ل ل رقاص ات ديس ل اي ك👎🏻
",N
"اول مر ه اشوف ها و اسمع عن ها . ساقط ه و عين ها قوي ه ال بيتش
",P
"اول مر ه اشوفه ه
",N
"اول مر ه انبسط من برنامج وائل ال ابراشي😂
",N
"اول واحد ابو قميص ب رداي ه و كان و بين و و بين كاظم ثار شقد حقود منو دريان بيك ي احظي
",N
"اول واحد الى ت كلم عن كاظم ي گول ماكو عراقى ي سمعل ه لا راح ي سمعول ك انت ٠٠ تاج راس كم كاظم ف ووودي ت نه😘😘😘😘😘😘😘😘
",N
"اول واحد طلع اسم ه صباح ال امى . . مبين مقهور حد ال موت من كاظم و ي كول ال برتقال ه احسن . ان ت غير ان من كاظم الى عمر ه مارد على ال جهل ه امثالك . ي ازبال ه
",P
"اول واحد ي ضحك😂😂 ال برتقال ه حل و ه بس دلع عينى دلع مو حل و ه سبحان الله 💩
",N
"اولا ال بنت دى مش ت مثل ال شعب ال مصرى و بعد كد ه ال ناس ال متخلف ه اللى ب تشتم مصر عشان ال بنت دى انا اتحدى اى واحد من اى بلد مفيهاش زى ال بنت دى كل بلاد ال عالم في ها كد ه و اكتر كل واحد ي شتم انا مش هقول ي شوف بن ات بلد ه هقول ه شوف نفس ك و اخوات ك يا متخلف منك لي ه
",P
"اولا ال فنان ه احلام صوت ها رووووع ه وان ا ب حب ها مهما قال و عن ها انا ب حب ارب ايدال علشان احلام موجود ه فى و بحبك اوووى ي ااحلام واى حد ب يدفع ضريب ه ال مجد و ال شهر ه وهى دى ال ضريب ه و كمان اى انسان لازم ي تصرف ي عنى ي كبت نفس ه علشان ف نان حرام علي كم
",N
"اولا راغب علام ه فنان متزن و ال مطرب ه احلام اللى اكيد هي ه عند ها عف ه و شرف لان ها ستر ت نفس ها و جلس ت فى بيت زوج ها و ماعرض ت نفس ها حتى فى غرف ه نوم ها مشكل ت ها مع راغب وكل ال شعوب ال طيب ه ان هم ل اي دعم ون داعش و لا ارهاب حكام ال خليج اللذين غن ت احلام ل هم ان اسحق وا شعب ال يمن و كل من ي عارض سياس ه ملوك ال بترول
",N
"اولا صاحب ال فديو اريد اكول ه شى ان كل ال فديوه ات ما عدا ال اول بس شوي ه بي ه اساء ه و ثاني ا كاظم ال ساهر هو من ال موصل و من ال طائف ه ال شبكي ه و عندى استاذى مال موسيقى كال استاذ كاظم ب فنون ال جميل ه ب بغداد كان ي شتكى من ه و كسلان و حتى رسب ه ب ال دروس و جاب و اسط ه بعد ها ال ه و هذا ال كلام مو من عندى من استاذ كبير ب بغداد
",N
"اولا كللل هم ي غار ون من ه و ثاني ا محد صارل ه و اسط ه ل يش تحچ ون علي ه ال ا ت غار ون من ه و بعد ين صباح ال لامى ل يش هلگد مظغوط حيصير بيك ضغط و سكر من ال غير ه مال ت ك هو فنان و ملحن و صوت ه حلو و ي گدر لحن مي حتاج لاحد ي لحنل ه . ههه ه تسموت ون ب جلط ه ال غير ه . . . و مگهوري يييي ين من كاظم # كاظم - ظاغط هم ههع😃
",N
"اولا نانسى افضل من هال حثال ه ع ال اقل نانسى محترم ه و ثاني ا بغض ال بصر عن ملابس ال يس ا ف لا شك ان ا ذات صوت جميل و ثالث ا هى شجع ت هيفاء و كان ت ضد نانسى لان هيفاء مثل ها اشتهر ت ب ال اغراء لا ب ال صوت ف ال اثن ين حثال ه
",P
"اولا هاى متمثل ال عراق و ب كل مجتمع اكو ال صالح و ال طالح
",N
"اوﻻهو لو صدك صوت ه موحلو و اغاني ه كان ما وصل ال هاى ال مرحل ه و ال ناس كل ه اتحب ه و ثاني ا هم و ه ذول ه شنو حت ه ي حجون على كاظم ال ساهر ي رحول ه فد و ه و بعد ين هو ه تعب على روح ه مستحيل احد ي وصل هيج ك ولش مضغوط ين
",N
"اولى اولى احكى خليجى ل يش تحكين مصرى و لبنانى مستعر ه من لهجت ك 🤔😳
",N
"اوووع ك بررر اشكد مكروه ه
",P
"اوووع من وا هذا ال زبال ه
",P
"اووووف سوقي ه ل ابعد ال حدود و واخد ه مقلب فى نفس ها
",P
"اووووف لو انيك ك
",P
"او وووف و الله ممصدك ه اكو هيج ب ال عراق صدوك اكو اهواى فساد بس معبالى ال هل درج ه انوب كاتب سار ه ال عراقى كبر ت روح فد و ه الئ احذي ه رياجيل ال عراق
",P
"او وووو كل ده مش استعراض ده مش استعراض دى و ساخ ه ! ! ! ! !
",P
"او ووووف شخصي ه ااووووف ب دون تعلي ييق
",N
"او ووووف لان ه عراقى . . . . . حتى كاظم ما سلم من كم عرب منافق ين😵😵😵
",N
"او وووووع
",N
"او وووووع شكد مقرف كبر لفك و لف هيج شكول😫😫
",P
"اويلى ب يوم ال قيام ه من ت صير كدام الله مد ا اتخيل شراح ي سوى بيك
",N
"اويلى حاى على غدايدى و نعم ه ال رجل داك صدر لى عندو ماعند حتى وحد ه من بن ات درب نا
",N
"اويلى ع ال حسد شيسوى ب ال بنى ادم ي ل ه ياب ه احجو منا ل سن تين ل كدام مارح تغير ون شى كاظم حيبقى ال اسطور ه اللى مستحيل ت كدر ون توصل وله ه و ال ميلوح ال عنب ي كول حامض
",N
"اويلى قم ه ال ادب و ال احترام و علا ه قم ه ال انحلال و ال فسق كيفاش داير
",P
"اى ابن ل نعال انت ه ت جيب لفن ال عراقي
",P
"اى ابو كرش منو مثل ك
",N
"اى احب سير ين ك ممثل ه و مطرب ه مبدع ه
",N
"اى احترام ها احترام ها زف ت
",N
"اى اخﻻق و تسامح لدي ها خﻻف ات مع ال كثير من ال فنان ين مثل راغب عﻻم ه و شمس و غير هم ال كثير ين من ال فنان ين مغرور ه ب اامول ها التى جمع ت ها من ال غناء وكل لقاء تفتخر ب مﻻبس ها و مجوهر ات ها ناسي ه مايمر ب ها ال شعوب ال عربي ه من حروب و دماء
",N
"اى استعراض هذى وحد ه عاهر ه سافل ه قال ت استعراض اقول بعد هذا ال فيديو ل عد تطلع ين فى اى ف ديو اصلن ان ت كذا ت نشر ين ال فساد اذا انت فاسد ه مولازم تور ين ال ناس ف ساد ت ك استرى نفس ك بعد ين انت تاخذ ين ذنب كل واحد شافك وع
",P
"اى اكيد شرموط ه نبر ون
",P
"اى اكيددد ي كره ون كاظم ال ساهر ل انو عراقى جنسي ه
",N
"اى ال بجاح ه اللى انتى في ها دي
",P
"اى انتى ل ما ت تكلمى كان ك عم تخرى اتعلمى ال ادب ب ال اول
",P
"اى انى مت ت بجى 😭😭 الله ي رحم ه
",N
"اى ب صراح ه لطيف ه ف نان ه محترم ه مقارن ه مع باقى ال فنان ات و عند ها موهب ه غنائ ي ه مو متل غير ا لى داخل ين ال فن ل ل استعراض و ال اغراء فقط
",N
"اى بين عليج
",N
"اى خلو ال واحد ب حال و لا ال انسان ال عادى سالم من كلام ناس و لا ال مغنى سالم وكل مادح نفس ه كاذب
",N
"اى دشين ه علي كم و كسر نا راس كم يامخانيث
",P
"اى شخص ي حجى على كاظم ال ساهر هذا ئبن زن ه هذا مضغوط هذا نعال هذا فاشل و ي كره و لان موهوب و متواضع و خلوق وكل ال صف ات ال حسن ه بى بس مع ال اسف على هاى ال عالم ال وسخه ال ما ت وصل ل تراب حرف كاف الى بداي ه اسم كاظم موتو ب غيظ كم كاظم ي ظل ال نجم ه ال موجود ه على سماء ال كر ه ال ارضي ه و ليس فقط ال عراق كاظم هو ال فنان ال مفظل عندى و الى ي حجى علي ه خلى ي حفظ خلفي ه مات ه يا نكس ين و شكرا ل ل نجم ال موهوب ال فنان الذى عجز ت ال احرف عن وصف ه ت حياتى ل ل موهب ه ال كبير ه الذى طرب ت ل نا و غنت ب لسان كاظم ال طاهر و ال عفيف . . . تبا ل كم
",P
"اى عربى قذر ي طعن ب شباب ال عراق احب اذكر ه انو شباب ال عراق كاعد اتحارب داعش او ناس تطى روح ه او دمه ه علمود ال وطن و اخير شيء ي جى هذه ال فايخ الى ما شايف شيء ب حيا ت ه ب ل صيف ك اعد على ال تبريد ي حجى عل ه ال غير ه ال عراق ي ه
",P
"اى عفوي ه واى ب طيخ ي ااخى ان ت تحت ال عدس ه و صخدام ال ناس وكل شى محسوب ي مكن تخلط مر ه مر تين ثلاث عشر ين لكن ت غلط على طول و ب كل تصوير و ب كل مقابل ه و مشاكل مع ال جميع ل يش كذا ي ااحلام ال ظاهر انك نسي ت نفس ك و ترتيب فى ال هوى اقول و قعى ت رى ماي تعلق ال ا ال دخان الله و اكبر حتى ال كلم ه ال عربي ه نسي تي ها و ت بين ت قول ين ها ب ال انجليزي قل ت مرادف ات ال لغ ه ال عربي ه اكثر لغ ه غني ه ب ال مرادف ات هى ال عربي ه لكن الله ي قطع ال غرور مسكين ابن آدم ي نسى نفس ه
",N
"اى فضل ال كويت و لبنان علئ شو صوت و و ال حانو مين عمل ها هوا عمل ها مش ال كويت ال جمهور ب ال وطن ال عربى حسو ب عبقر ي ه ال قيصر و صوت و و اخلاق و ال كبير ه كل ال فيديوه ات الى شف ت ها اساس ها حقد و غير ه و قهر عالم مريض ه
",P
"اى فن هذا هذا فجور و ال خروج من تقاليد ال اسلام و الله لو كان عندى وقت كافى ل بقي ت اسبوع كامل اعلق و انتقد مثل هاؤولاء ال اغبياء ال مقرف ين اللذين ارت وا عن ال اسلام ال حقيقي
",P
"اى ف نان ما ي وصل شعر ل كاظم ال ساهر ما ال هم حق ي سيؤ ا ال ا ادرى كاتل اب و هم حارك حمام هم
",N
"اى ف نان ي ملك اجابي ات او سلبي ات فى اول و اخر كاضم في ه عيوب مثلو مثل غيرو بس هو شخصي ه كبير ه
",N
"اى قران يا ولي ه لا ي جتمع قلبان فى قلب واحد
",N
"اى مسلسل الى ي لى ي نعرض ب تركيا ؟ ؟
",N
"اى مو كاظم ال ساهر ي موت اذا مادخل ال كويت بس انتو ل نو كاظم مويد ل صدام ما ات ريد ون ه ت ريد ون بس ماجد ال مهندس ل نو مايعترف ب ل عراق ي عترف بس ب لخليج
",N
"اى مو هو ميت على ال كويت كاظم هى ال كويت من حور ها
",N
"اى واحد حجى عن كاظم اكول ه روح شغل بس حفل ه وحد ه من حفل ات ال قيصر شوف ان ت جمهور ك ت وصل ل ربع جمهور ه
",N
"اى واحد ناجح ي طلعلو اعداء . . . كاظم انسان ناجح و حكي هم مارح ي نفى نجاح ه
",N
"اى و الله ال انسان ال صريح ماحد ا ي حب بس هى صريح ه احسن ت احلام خلي ها هي ك
",N
"اى و الله بعد زيد ف ي ديوه ات علام ال قرد ه
",P
"اى و الله صار ت مصخر ه
",P
"اى و نسي ت اكلج شعر ها جن ها طالع ه من عرك ه نسوان تففففففووووووو يابن ت نعال خر ه بنت خر ه
",P
"اى ي رد ون محمد عبد ه ف نان ال عرب باى طريق ه طلعو هذا ال فديو بعد دول ال خليج حاقد ين
",N
"ايا تاف ه ابن ال تافه . ايا سافل ابن ال سافل . شكد حقير ان ت قندر ه ال عرب محمد عبدو اثنين كم زبال ات و حثال ات و ملبوس ين ب ال شحاط يا قندر ه ب رجلى .
",P
"ايام زمان و بس
",N
"ايباااااخ ب الله ل تريد ين اتشوفي ه ب ال كويت انتى و ال نعال 😂😂😂😂😂 و الله ي الله
",P
"ايباخ امسي ه نفسج ملك ه و نتى جكم ه او جنج قرد
",P
"اي رى ب هي ك ف نانين مثل طيزى و ال جمهو زى اللى ب يطلع من ها
",P
"ايزى كوين ؟ ي عنى شنو ؟
",N
"ايش ال قص ه ي اجماع ه و الله كاظم اكثر ال فنان ين ل باق ه ورقى و مش حق مشاكل ، مغرض ين و حاقد ين ، طل ت ه و برستيج ه قاهر ه ال كل ، انا مش عراقي ه بس برائيى و اغبى ال خلق الى دخل وا ال سياس ه و مواقف هم من ال عراق فى ال نقد ال فنى ، بس ال عرب ي سوو ها ، و ال اغرب اولاد بلد ه غير ه من ه ي قلل وا من شان ه بدل مايفخر وا ب نجاح ه كمان فقط ال عرب ي سوو ها
",N
"ايش جاب ال بقر ه ال ضاحك ه
",P
"ايش دخل احلام فى ال نظام ال سورى ماعند ك سالف ه
",N
"ايش ده كاظم من و ين انطلق حبيبى ي اكاظم ال كل ي بغى ي نسب ك لي ه و ي غار منك و خلي ك زى مان ت ال قافل ه ت سير و ال كلاب تعوى 💪🏻
",P
"ايش قل ه ال حياء هذى خييير ي بووووى روحو بيت كم و سو اللى تبون ه بس تصور خير يا ال عنز
",P
"ايش معنا عرص ا
",N
"ايش معنى booooooooo
",N
"ايش هادى ب الله هادى ف نان ه هادى عار على ال فن و الله عار ال مفروض رمي هاكزبال ه و عدم ال استماع ل ها مسوي ه مشاكل و ت تكلمعناس و متكبر ه و تدعى ان ها مسلم ه قال صلى الله علي ه و سلمم من كان فى قبل ه در ه من كبر و لم ي دخل ال جن ه ربى ل ايسامح ك ي ااحلام \ انتى عار و الله عار استحى على نفس ك
",P
"ايش هال صدر ال كبير روع ه
",N
"ايش هذا ال كبر يا احلام خافى ربك مافى اى شى فى ال دنيا ي سوى ن تكبر علي ه الله ي هدي ك
",N
"ايش هذى ال لهجه ي ااحلام مابان ت . لبنان ي ه و لا خليجي ه ومو لايق ال صراح ه هههههههه ه😂
",N
"ايش ي عنى فنان ه بورنو
",N
"ايع شهل ال بشر ! خابص نفس ه ف وكا ها ياري ت صدك حلو و ي ع
",N
"اي غار ون اوجوه ال نعول ه تف💦 علي كم و على خلق كم ال زفر ه اوصلو ل ضفر من اضافر رجل ه او بعد ين احجو حاقد ين
",P
"اي كره ون ال عراق و حق الله لان احنا اصحاب غير ه و ماكو مثل نا ب ال عالم
",N
"اي كسوزمى ههه ه اش داك لشى انجليزى خلي ك ب ال عربى ال دقيق ه 5 . 31
",N
"ايم ت ي طلع ارب اي دل 4
",N
"اين مصر عن هم ؟ ؟ ؟
",N
"اي ه ال اجالك من كول واحد ي هزق ك يابن ت ست ين كلب ملق تيش راجل ي لم ك
",P
"اي ه ال احترام ده
",N
"اي ه ال ارف ده
",P
"اي ه ال بجاح ه دى
",P
"اي ه ال حقد ده كل ه
",N
"اي ه ال قرف ده 😡😡😡 اشكال تقرف و ل ل اسف ال بعض عمل ل ل اشكال دى قيم ه 💩💩
",P
"اي ه ال مناظر و ال اشكال ال زبال ه دى لا صوت و لا شخصي ه و لا شكل ها استغفر الله و اى حاج ه تفسر ها ان ها غير ه و كيد ستات و لو راجل ت قول ل ه راي ك ميهمنيش على راى ال مسرحي ه يا سافل ه يا سهل ه يا رخيص ه 😃😂
",P
"اي ه ال منظر ال خرا د ه ؟ و بعد ين اختشى على دمك يا اسم ك اي ه ده ف ال مقطع رقم 8 تفاح ه آدم هتنط من زور ك و بعد ين نفسى اعرف مين ال حمار اللى فهم ك انك حل و ه و بعد ين هنغير من كائن مش عارف ين راجل و لا ست ؟ و بعد ين تبقى حامل ازاى هو فى راجل ب يحمل
",P
"اي ه انا مفهم تش من ها و لا كلم ه
",N
"اي ه ب كيت جد ا ليل ه اعدام صدام حسين لان ه ي ستحق و زعيم ب معنى ال كلم ه
",N
"اي ه ف شختينى دى ب ابن ت ال عبيط ه
",P
"اي ه كر ات ال بولينغ اللى هوا عامل ها ده 😂
",N
"اي ه ما فى اهضم و لا اطيب من احلام
",N
"اي ه ماشاء ل له حافض ه ال قرءان و تصلى لعن ابو دارك ي اتافه ه اقسم ب الله ان ك ت بن انتى و الى ي شجع ك ياناس نوال ال كويتي ه تاج ع راس كل ال فن ال خليجي
",P
"اي ه هاى كل ها مساوي ه ال قيصر مين بدو ي شكر ل ي شكر
",N
"اي هاجم وا في ها و نساو هيفاء و هبى عجبييييييييييي
",N
"ايييييييع
",P
"ب ايام صدام مجان اكو اطفال مهجر ين ي اكلاب انتم دخل تم داعش علي ن ه صدام جان شاك حلو كم ي اوصخ ين اتفو علي كم
",P
"ب دقيق ه 11 : 1 ي كول كلم ه اذا ت حب ون تشوف و بدل مترجع ون ب لفديو و تحدد ون دوسو ع ال دقيق ه ال كتب ت ها و ي رجع ال فديو بلدقيق ه
",N
"ب اختصار مريض ه… و حرام ت طلع ع شاش ه ال تلفاز… هذه ال مراه وان ا اقول ها دائم ا اسخف امراه … لا تمت ل ل فن ب صل ه . حرام تمسك ال مايك حتى … ب اختصار شخصي ه مريض ه مهزوز ه . / ل اتمثل ال شعب ال اماراتى . ذى قار / ال عراق
",P
"بؤر ه ال نذال ه و ال خسه حين ي تجر ا رجل و ي مد يد ه على مر ه غريب ه ال غير ه معدوم ه عد هم هذه مو اخﻻق اﻻسﻻم ال حنيف
",P
"بائع ه ال عنب . منذ اى عصر ت صنف هذه ال مراه ال مريض ه نفسي ا ف نان ه . و منذ متى ي صبح ال محكوم حكم ي قرر عن خام ه ال صوت لدى ال مشارك ين فى برنامج Arab idol . و الله لازم ت ذهب ل ل صحراء هى و ال غنم ب تاع ها مع احترامى ل كل راعى شريف .
",P
"ب ااااع ال شكككل استغفرالله چن ه واحد مباوع عل ه روح ا ب ال ترمز😂 ال عراقى ي عرف شنو ترمز😁
",N
"باب ا ابو ال تكسى مايغازل ك دا ي قرا ال معوذ ات 😂
",N
"باب ه كاضم ال ساهر تاج روس كم
",N
"ب اختصار . . . . . . خببل ه احلام
",P
"ب اخر ال مقطع مريم طاح ت من عين ي اللى ب ستر علا ال ناس الله ي ستر علي ه دنيا و اخر ه ل يش تحطى صور ه ال بنت و تعملى ل ها مشاكل ال بنت رسل ت ل ك صور ت ها غباء اوزياد ه ثق ه تعملى في ها كذا تفكرى الله ب يوفق ك . لو دعو ه من ها وحد ه و الله مات توفقى ال عمر كل ه ال ا ال شرف ل اتخوضى في ه استرى علا ال ناس ال ستر ثم ال ستر الله ي هدي ك بس
",N
"ب اربى ال كويت ههههخخخخ وجه خرا
",N
"ب استثناء ابو و ديع كل اللى اتكلم و و سبو ال قيصر ما ي ساوو اه ت طلع ب موال ي غني ه
",N
"باع ل ثول جهال ل عراق عد هم تليفون ات حاط ه عينج عال تليفون ات و احن ه اذا ن طلع من ل بيت من عرف ن رجع ع رجل ين ه لو شايلين ه ب تابوت لو اصل ا ميلك ون ه انسان ه فارغ ه شكو ظالم و اكف ه و يا
",P
"باع هاي ه فور ت دمى ال عوب ه ال كويتي ه شنو هال كر ه
",P
"باع هذا ابو ال كويت هي ه ال كويت هم دول ه افره ه ب ايسكل
",N
"باع هذا ابو ال برتقال ه جميل ه 😂😂😂 خايب ان ت و ين و احنا و ين ال قصير هذا ال قيصر
",N
"ب اعوو كاظم و ين وصل و ال عالم ت موت فى و رجل عاقل و هادئ ي جنن شنو هل زبايل تجى ت حجى علي ه
",P
"ب ال تووووووووفيق شكر ا ع ال فيديو
",N
"ب ال خير انتم و ين و هو و ين
",N
"ب ال رغم انى مختلف مع ها تمام ا و مع افكار ها بس مش ممكن ت ضرب عشان شتم ت عائش ه و لا غير ها ف ين حري ه ال راى و ال تعبير
",N
"ب ال شفاء
",N
"ب ال عراق كاظم ال ساهر هو اكبر مغنى مال ه اى منافس لان غن ه اغانى محد ي كدر ي غني ها مثل ه غنى قصائد ب شكل غناء و مو كل واحد ي كدر ي غنى و هو انسان محترم ب كل مقابل ات ه ماسمع ت من ه كلم ه سلب ي ه على احد بس ال وسط ال فنى حال هم حال نا فى غير ه بين ات هم ي تكلم ون عن ه مثل جورج هو ب يحشش ي تكلم عن كاظم
",N
"ب ال عراقى انكول ( ال عوب ه عوب ه شما ت حط ع اللوجه )
",P
"ب ال عكس . . هدا اللى ي حتاج ه برنامج عرب اي دول
",N
"ب ال عكس احسن واحد كاظم ال ساهر
",N
"ب ال عكس سير ين عبد ال نور فنان ه هادئ ه و ماشف ت من ها شى فاظح
",N
"ب ال عكس كاظم انسان راقى ؛ و ب فضل ه وصل ال فن ال عراقى ل ل عالم ال عربي
",N
"ب ال عكس هذا كاظم ي قول ون لا ترجم ال ا ال شجر ه ال مثمر ه و اقول كاظم ال ساهر ف نان محترم و اخلاق ه عالي ه و اغاني ه جميل ه مر ه و لا ت قدر و ت صلو ل مستوا ه ي كفى من اغاني ه اشكيك ل م ين
",N
"ب ال فعل سعاد حسنى كان ت ت عمل اكثر من ذالك ب كثير
",N
"ب ال فعل هذا ال عاهر ه احلام ال بقر ه 100 % ههههههههههه ه انتي و اهلك ترح ون ف دوى الى حذاء راغب علام ه ال سبر ستار
",P
"ب ال فعل هم اللى عند هم مشكل ه و بس ي تمصخرو علي ها . . رهيب ه يا احلااام قاهر ت هم
",N
"ب ال كويت ب يحك وا نحن ا سبب نجاح ه و ب لبنان نفس الشى ل ك يا جماع ه لولا ان ه موهوب و مميز ماكان نجح هالاد عيب تهاجم وا نجم و تارك ين ال زبال ه
",P
"ب ال لقطه ال عاشر ه . . ال مذيع ه شمال ها منعس ه
",P
"ب الله شوفو مين عم ي تكلم علي ه
",N
"ب الله صوت ها ماي شبه عم ت هايدي
",N
"ب الله علي كم شل وا لجن ه ال تحكيم كل ها برنامج كم نزل ت وه ل ل حضيض ب سبب لجن ه حكام لا تمت ل هذه ال مكان ه ب صل ه اتمنى ان ت ختار وا حكام اكفاء مثل كاظم و صابر و عاصى و شير ين ي ستحق وا حكام عن معرف ه ب صدق اكر ه احلام صوت ه ي صدع ال اذن
",P
"ب الله علي كم في ه فنان عربى مثقف و رزين و عاقل ؟ ي مكن قل ه قليل ه و كمثال كاظم ال ساهر اصال ه نصرى ، لكن ال اغلب يه ب هذه ال صور ه
",N
"ب الله ل اتحج ون على كاضم بيكم خير غنو ب صعوب ه غنا ه او ل حنو مثل ال حان ه
",N
"ب الله ما تعرفى ت حكى انجليزى . . . ما دوخي نا ! ! !
",N
"ب الله مافهم ت شى من الى جالس ه ت قول و ، ل ما قال ت ست نا عيش ه مدرى ايشش ؟ ! الى فهمو ي قولولى ايش معنى كلام ها ب ليز
",N
"ب الله منو ي طلع و هذول عشان ي قول و على 《ال قيصر》كذا سبحان الله
",N
"ب الله هاى ف نان ه مكان ها ب ال زبل اصل ا كل ثقاف ه فني ه ما عند ها ل اوفوكا ه ت قول انى ملك ه انتى ملك ه على ال زبل يا زبال ه
",P
"ب ال مختصر سبب حرب ال اعلام ين ل احلام لان ها سن ي ه
",N
"ب ال مشرق ال عربى كلو ماحد ا ال و صوت ف ل ه ي اقحب ه ي اتونسي ه ي اخر ا
",P
"ب ال مناسب ه هذا ي تكلم عراقى مكسر ي عنى مو عراقى شوفو جنسي تو
",N
"ب ال نسب ه الى بقر ه ال خليج ههههه ه كان فى دخان عل حدود و كال ابى ادخل ههه ه زين ان ه اعترف . . . ت حي ه ل كل كويتى شريف ماعد ا بقر ه ال خليج
",P
"ب ال نسب ه الى ال اتن ين . . . مو راكز ين . . . مابختارو كلم ات هم و ب تصرفو ب دون تفكير . . و حسن و نانسى ووائل كفورى متزن ين . . . اكتر ب كتير
",N
"ب ال نسب ه ل جورج و سوف هذا محشش و ال فنان ال لبنانى ذو ال صوت ال قوى ملحم برك ات سكر ان و ال كويتى ال ناقم و الخ اما ب ال نسب ه ل سعد ون جابر ما ذم كاظم قال طلع ايام ال فضائي ات و مخطا
",N
"ب ال نسب ه ل سعد ون جابر كلام ه مابى اساء ه ل كاظم .
",N
"ب ال نسب ه لى ما احب كاظم صوت ه عادى و ال حان ه الآن سيئ ه و اشوف ه متصنع و عنصرى جد ا و هذا بان من برنامج ذا فويس
",N
"ب ال نسب ه ال جورج ي ااخى روح عالج ن سفك و بعد ين احجي ب ال نسب ه نبيل ال بو ب عران هذا ي كفى ب حق ه و ب ال نسب ه هاى ال كويتي ه هم من ال يو ب عران ما ااريد اشوف كاظم ب ال كويت طبع ا اكيد انى هم اضم ال صوتج كاظم ميدخل ل ل كويت لان بس ي بيع نعال ه و ي شترى ال كويت ال بو بعران كووووووووووووووول ها
",P
